AIS;Município;Dia da Semana;Data;Hora
AIS 19;Fortaleza;Sexta;2021-01-01;22:50:00
AIS 08;Fortaleza;Sexta;2021-01-01;22:30:00
AIS 08;Fortaleza;Sexta;2021-01-01;22:00:00
AIS 21;Fortaleza;Sexta;2021-01-01;21:30:00
AIS 02;Crato;Sexta;2021-01-01;21:00:00
AIS 19;Fortaleza;Sexta;2021-01-01;20:45:00
AIS 19;Fortaleza;Sexta;2021-01-01;20:30:00
AIS 22;Fortaleza;Sexta;2021-01-01;20:30:00
AIS 16;Fortaleza;Sexta;2021-01-01;20:10:00
AIS 16;Fortaleza;Sexta;2021-01-01;20:10:00
AIS 19;Fortaleza;Sexta;2021-01-01;19:40:00
AIS 17;Fortaleza;Sexta;2021-01-01;19:30:00
AIS 21;Fortaleza;Sexta;2021-01-01;19:30:00
AIS 01;Russas;Sexta;2021-01-01;19:30:00
AIS 21;Fortaleza;Sexta;2021-01-01;19:00:00
AIS 14;Maracanaú;Sexta;2021-01-01;19:00:00
AIS 02;Juazeiro do Norte;Sexta;2021-01-01;19:00:00
AIS 06;Fortaleza;Sexta;2021-01-01;18:50:00
AIS 21;Fortaleza;Sexta;2021-01-01;18:45:00
AIS Não Identificada (Caucaia);Caucaia;Sexta;2021-01-01;18:30:00
AIS 09;Solonópole;Sexta;2021-01-01;18:30:00
AIS 21;Fortaleza;Sexta;2021-01-01;18:00:00
AIS 17;Fortaleza;Sexta;2021-01-01;17:40:00
AIS 08;Fortaleza;Sexta;2021-01-01;17:30:00
AIS 21;Fortaleza;Sexta;2021-01-01;17:30:00
AIS 03;Sobral;Sexta;2021-01-01;17:30:00
AIS 16;Fortaleza;Sexta;2021-01-01;17:00:00
AIS 05;Fortaleza;Sexta;2021-01-01;17:00:00
AIS 19;Fortaleza;Sexta;2021-01-01;16:35:00
AIS 08;Fortaleza;Sexta;2021-01-01;16:30:00
AIS 21;Fortaleza;Sexta;2021-01-01;16:00:00
AIS 17;Fortaleza;Sexta;2021-01-01;15:10:00
AIS 12;Caucaia;Sexta;2021-01-01;15:00:00
AIS 17;Fortaleza;Sexta;2021-01-01;15:00:00
AIS 06;Fortaleza;Sexta;2021-01-01;15:00:00
AIS 25;Pacajus;Sexta;2021-01-01;15:00:00
AIS 06;Fortaleza;Sexta;2021-01-01;14:00:00
AIS 19;Fortaleza;Sexta;2021-01-01;11:15:00
AIS 25;Pacajus;Sexta;2021-01-01;10:30:00
AIS 15;Eusébio;Sexta;2021-01-01;10:05:00
AIS 26;Caucaia;Sexta;2021-01-01;09:20:00
AIS 19;Fortaleza;Sexta;2021-01-01;09:00:00
AIS 29;Baturité;Sexta;2021-01-01;09:00:00
AIS 17;Fortaleza;Sexta;2021-01-01;08:30:00
