Município;AIS;Meio Empregado;Data;Hora;Dia da Semana;Gênero;Idade;Escolaridade;Raça
Horizonte;AIS 25;Arma de fogo;2022-01-04;16:59:59;Terça;Masculino;17;Ensino Fundamental Incompleto;Não Informada
Aracati;AIS 30;Arma de fogo;2022-01-10;09:35:00;Segunda;Masculino;22;Ensino Fundamental Completo;Não Informada
Barbalha;AIS 02;Arma de fogo;2022-01-10;12:00:00;Segunda;Masculino;17;Ensino Fundamental Completo;Não Informada
Aracati;AIS 30;Arma de fogo;2022-01-12;16:00:00;Quarta;Masculino;14;Ensino Fundamental Completo;Não Informada
Itarema;AIS 11;Arma de fogo;2022-01-12;17:45:00;Quarta;Masculino;25;Ensino Fundamental Incompleto;Não Informada
Jaguaruana;AIS 01;Arma de fogo;2022-01-19;21:00:00;Quarta;Masculino;16;Ensino Fundamental Incompleto;Parda
Caucaia;AIS Não Identificada (Caucaia);Arma de fogo;2022-01-20;10:34:59;Quinta;Masculino;28;Alfabetizado;Não Informada
Morada Nova;AIS 09;Arma de fogo;2022-01-21;07:00:00;Sexta;Masculino;24;Alfabetizado;Não Informada
Morada Nova;AIS 09;Arma de fogo;2022-01-21;07:00:00;Sexta;Masculino;20;Ensino Médio Incompleto;Não Informada
Morada Nova;AIS 09;Arma de fogo;2022-01-21;07:00:00;Sexta;Masculino;22;Alfabetizado;Não Informada
Pereiro;AIS 31;Arma de fogo;2022-01-23;13:30:00;Domingo;Masculino;21;Ensino Médio Completo;Parda
Fortaleza;AIS 16;Arma de fogo;2022-01-28;09:29:59;Sexta;Masculino;22;Ensino Fundamental Completo;Parda
Maranguape;AIS 24;Arma de fogo;2022-01-28;13:30:00;Sexta;Masculino;25;Ensino Fundamental Completo;Parda
Fortaleza;AIS 18;Arma de fogo;2022-01-31;00:36:59;Segunda;Masculino;17;Ensino Fundamental Incompleto;Parda
Aracoiaba;AIS 29;Arma de fogo;2022-02-01;00:29:59;Terça;Masculino;21;Ensino Fundamental Incompleto;Não Informada
Aracoiaba;AIS 29;Arma de fogo;2022-02-01;00:29:59;Terça;Masculino;Não Informada;Não Informada;Não Informada
Jaguaruana;AIS 01;Arma de fogo;2022-02-01;13:00:00;Terça;Masculino;18;Alfabetizado;Não Informada
Beberibe;AIS 30;Arma de fogo;2022-02-04;20:19:59;Sexta;Masculino;18;Ensino Fundamental Incompleto;Branca
Canindé;AIS 04;Arma de fogo;2022-02-09;09:00:00;Quarta;Masculino;20;Alfabetizado;Não Informada
Fortaleza;AIS 19;Arma de fogo;2022-02-12;17:53:59;Sábado;Masculino;16;Ensino Fundamental Incompleto;Parda
São João do Jaguaribe;AIS 01;Arma de fogo;2022-02-26;19:49:59;Sábado;Masculino;23;Não Informada;Não Informada
Juazeiro do Norte;AIS 02;Arma de fogo;2022-03-02;15:15:00;Quarta;Masculino;30;Alfabetizado;Parda
